any;comarca o Aran;concepte;estat;valor
2014;Vallès Oriental;PIB per habitant (€);;27336
2014;Vallès Oriental;PIB per habitant (índex Catalunya=100);;98,8
2014;Catalunya;PIB (milions €);;205511,1
2014;Catalunya;PIB per habitant (€);;27662
2014;Catalunya;PIB per habitant (índex Catalunya=100);;100,0
2015;Alt Camp;PIB (milions €);;1292,7
2015;Alt Camp;PIB per habitant (€);;29281
2015;Alt Camp;PIB per habitant (índex Catalunya=100);;101,5
2015;Alt Empordà;PIB (milions €);;2994,7
2015;Alt Empordà;PIB per habitant (€);;21962
2015;Alt Empordà;PIB per habitant (índex Catalunya=100);;76,1
2015;Alt Penedès;PIB (milions €);;2854,1
2015;Alt Penedès;PIB per habitant (€);;27040
2015;Alt Penedès;PIB per habitant (índex Catalunya=100);;93,7
2015;Alt Urgell;PIB (milions €);;425,6
2015;Alt Urgell;PIB per habitant (€);;20763
2015;Alt Urgell;PIB per habitant (índex Catalunya=100);;72,0
2015;Alta Ribagorça;PIB (milions €);;97,3
2015;Alta Ribagorça;PIB per habitant (€);;25035
2015;Alta Ribagorça;PIB per habitant (índex Catalunya=100);;86,8
2015;Anoia;PIB (milions €);;2429,1
2015;Anoia;PIB per habitant (€);;20719
2015;Anoia;PIB per habitant (índex Catalunya=100);;71,8
2015;Aran;PIB (milions €);;354,7
2015;Aran;PIB per habitant (€);;36236
2015;Aran;PIB per habitant (índex Catalunya=100);;125,6
2015;Bages;PIB (milions €);;4436,8
2015;Bages;PIB per habitant (€);;25621
2015;Bages;PIB per habitant (índex Catalunya=100);;88,8
2015;Baix Camp;PIB (milions €);;4328,7
2015;Baix Camp;PIB per habitant (€);;22953
2015;Baix Camp;PIB per habitant (índex Catalunya=100);;79,6
2015;Baix Ebre;PIB (milions €);;1638,7
2015;Baix Ebre;PIB per habitant (€);;20859
2015;Baix Ebre;PIB per habitant (índex Catalunya=100);;72,3
2015;Baix Empordà;PIB (milions €);;2775,4
2015;Baix Empordà;PIB per habitant (€);;21331
2015;Baix Empordà;PIB per habitant (índex Catalunya=100);;74,0
2015;Baix Llobregat;PIB (milions €);;23420,2
2015;Baix Llobregat;PIB per habitant (€);;29250
2015;Baix Llobregat;PIB per habitant (índex Catalunya=100);;101,4
2015;Baix Penedès;PIB (milions €);;1651,9
2015;Baix Penedès;PIB per habitant (€);;16677
2015;Baix Penedès;PIB per habitant (índex Catalunya=100);;57,8
2015;Barcelonès;PIB (milions €);;78884,9
2015;Barcelonès;PIB per habitant (€);;35848
2015;Barcelonès;PIB per habitant (índex Catalunya=100);;124,3
2015;Berguedà;PIB (milions €);;825,3
2015;Berguedà;PIB per habitant (€);;21089
2015;Berguedà;PIB per habitant (índex Catalunya=100);;73,1
2015;Cerdanya;PIB (milions €);;410,5
2015;Cerdanya;PIB per habitant (€);;23105
2015;Cerdanya;PIB per habitant (índex Catalunya=100);;80,1
2015;Conca de Barberà;PIB (milions €);;606,0
2015;Conca de Barberà;PIB per habitant (€);;29853
2015;Conca de Barberà;PIB per habitant (índex Catalunya=100);;103,5
2015;Garraf;PIB (milions €);;2523,2
2015;Garraf;PIB per habitant (€);;17532
2015;Garraf;PIB per habitant (índex Catalunya=100);;60,8
2015;Garrigues;PIB (milions €);;404,6
2015;Garrigues;PIB per habitant (€);;21066
2015;Garrigues;PIB per habitant (índex Catalunya=100);;73,0
2015;Garrotxa;PIB (milions €);;1510,5
2015;Garrotxa;PIB per habitant (€);;27496
2015;Garrotxa;PIB per habitant (índex Catalunya=100);;95,3
2015;Gironès;PIB (milions €);;5524,2
2015;Gironès;PIB per habitant (€);;30470
2015;Gironès;PIB per habitant (índex Catalunya=100);;105,6
2015;Lluçanès;PIB (milions €);..;null
2015;Lluçanès;PIB per habitant (€);..;null
2015;Lluçanès;PIB per habitant (índex Catalunya=100);..;null
2015;Maresme;PIB (milions €);;8799,5
2015;Maresme;PIB per habitant (€);;20257
2015;Maresme;PIB per habitant (índex Catalunya=100);;70,2
2015;Moianès;PIB (milions €);;280,6
2015;Moianès;PIB per habitant (€);;21501
2015;Moianès;PIB per habitant (índex Catalunya=100);;74,5
2015;Montsià;PIB (milions €);;1138,4
2015;Montsià;PIB per habitant (€);;16720
2015;Montsià;PIB per habitant (índex Catalunya=100);;58,0
2015;Noguera;PIB (milions €);;825,9
2015;Noguera;PIB per habitant (€);;21412
2015;Noguera;PIB per habitant (índex Catalunya=100);;74,2
2015;Osona;PIB (milions €);;4157,0
2015;Osona;PIB per habitant (€);;27165
2015;Osona;PIB per habitant (índex Catalunya=100);;94,2
2015;Pallars Jussà;PIB (milions €);;278,5
2015;Pallars Jussà;PIB per habitant (€);;20979
2015;Pallars Jussà;PIB per habitant (índex Catalunya=100);;72,7
2015;Pallars Sobirà;PIB (milions €);;170,7
2015;Pallars Sobirà;PIB per habitant (€);;24572
2015;Pallars Sobirà;PIB per habitant (índex Catalunya=100);;85,2
2015;Pla d'Urgell;PIB (milions €);;892,5
2015;Pla d'Urgell;PIB per habitant (€);;24317
2015;Pla d'Urgell;PIB per habitant (índex Catalunya=100);;84,3
2015;Pla de l'Estany;PIB (milions €);;794,8
2015;Pla de l'Estany;PIB per habitant (€);;25373
2015;Pla de l'Estany;PIB per habitant (índex Catalunya=100);;88,0
2015;Priorat;PIB (milions €);;172,5
2015;Priorat;PIB per habitant (€);;18374
2015;Priorat;PIB per habitant (índex Catalunya=100);;63,7
2015;Ribera d'Ebre;PIB (milions €);;1294,7
2015;Ribera d'Ebre;PIB per habitant (€);;58219
2015;Ribera d'Ebre;PIB per habitant (índex Catalunya=100);;201,9
2015;Ripollès;PIB (milions €);;577,9
2015;Ripollès;PIB per habitant (€);;23000
2015;Ripollès;PIB per habitant (índex Catalunya=100);;79,7
2015;Segarra;PIB (milions €);;626,8
2015;Segarra;PIB per habitant (€);;27981
2015;Segarra;PIB per habitant (índex Catalunya=100);;97,0
2015;Segrià;PIB (milions €);;5387,1
2015;Segrià;PIB per habitant (€);;26299
2015;Segrià;PIB per habitant (índex Catalunya=100);;91,2
2015;Selva;PIB (milions €);;3987,0
2015;Selva;PIB per habitant (€);;24047
2015;Selva;PIB per habitant (índex Catalunya=100);;83,4
2015;Solsonès;PIB (milions €);;301,0
2015;Solsonès;PIB per habitant (€);;22458
2015;Solsonès;PIB per habitant (índex Catalunya=100);;77,9
2015;Tarragonès;PIB (milions €);;8452,3
2015;Tarragonès;PIB per habitant (€);;33868
2015;Tarragonès;PIB per habitant (índex Catalunya=100);;117,4
2015;Terra Alta;PIB (milions €);;287,3
2015;Terra Alta;PIB per habitant (€);;24598
2015;Terra Alta;PIB per habitant (índex Catalunya=100);;85,3
2015;Urgell;PIB (milions €);;832,0
2015;Urgell;PIB per habitant (€);;23167
2015;Urgell;PIB per habitant (índex Catalunya=100);;80,3
2015;Vallès Occidental;PIB (milions €);;24560,2
2015;Vallès Occidental;PIB per habitant (€);;27355
2015;Vallès Occidental;PIB per habitant (índex Catalunya=100);;94,8
2015;Vallès Oriental;PIB (milions €);;11282,8
2015;Vallès Oriental;PIB per habitant (€);;28333
2015;Vallès Oriental;PIB per habitant (índex Catalunya=100);;98,2
2015;Catalunya;PIB (milions €);;214488,5
2015;Catalunya;PIB per habitant (€);;28842
2015;Catalunya;PIB per habitant (índex Catalunya=100);;100,0
2016;Alt Camp;PIB (milions €);;1371,5
2016;Alt Camp;PIB per habitant (€);;31134
2016;Alt Camp;PIB per habitant (índex Catalunya=100);;104,0
2016;Alt Empordà;PIB (milions €);;3106,6
2016;Alt Empordà;PIB per habitant (€);;22767
2016;Alt Empordà;PIB per habitant (índex Catalunya=100);;76,1
2016;Alt Penedès;PIB (milions €);;2953,3
2016;Alt Penedès;PIB per habitant (€);;27842
2016;Alt Penedès;PIB per habitant (índex Catalunya=100);;93,0
2016;Alt Urgell;PIB (milions €);;441,4
2016;Alt Urgell;PIB per habitant (€);;21719
2016;Alt Urgell;PIB per habitant (índex Catalunya=100);;72,6
2016;Alta Ribagorça;PIB (milions €);;104,4
2016;Alta Ribagorça;PIB per habitant (€);;27120
2016;Alta Ribagorça;PIB per habitant (índex Catalunya=100);;90,6
2016;Anoia;PIB (milions €);;2408,4
2016;Anoia;PIB per habitant (€);;20430
2016;Anoia;PIB per habitant (índex Catalunya=100);;68,3
2016;Aran;PIB (milions €);;362,9
2016;Aran;PIB per habitant (€);;36985
2016;Aran;PIB per habitant (índex Catalunya=100);;123,6
2016;Bages;PIB (milions €);;4530,7
2016;Bages;PIB per habitant (€);;26124
2016;Bages;PIB per habitant (índex Catalunya=100);;87,3
2016;Baix Camp;PIB (milions €);;4379,2
2016;Baix Camp;PIB per habitant (€);;23201
2016;Baix Camp;PIB per habitant (índex Catalunya=100);;77,5
2016;Baix Ebre;PIB (milions €);;1653,4
2016;Baix Ebre;PIB per habitant (€);;21200
2016;Baix Ebre;PIB per habitant (índex Catalunya=100);;70,8
2016;Baix Empordà;PIB (milions €);;2834,6
2016;Baix Empordà;PIB per habitant (€);;21721
2016;Baix Empordà;PIB per habitant (índex Catalunya=100);;72,6
2016;Baix Llobregat;PIB (milions €);;24891,9
2016;Baix Llobregat;PIB per habitant (€);;30916
2016;Baix Llobregat;PIB per habitant (índex Catalunya=100);;103,3
2016;Baix Penedès;PIB (milions €);;1742,3
2016;Baix Penedès;PIB per habitant (€);;17468
2016;Baix Penedès;PIB per habitant (índex Catalunya=100);;58,4
2016;Barcelonès;PIB (milions €);;82573,9
2016;Barcelonès;PIB per habitant (€);;37257
2016;Barcelonès;PIB per habitant (índex Catalunya=100);;124,5
2016;Berguedà;PIB (milions €);;861,0
2016;Berguedà;PIB per habitant (€);;22107
2016;Berguedà;PIB per habitant (índex Catalunya=100);;73,9
2016;Cerdanya;PIB (milions €);;409,4
2016;Cerdanya;PIB per habitant (€);;23082
2016;Cerdanya;PIB per habitant (índex Catalunya=100);;77,1
2016;Conca de Barberà;PIB (milions €);;621,1
2016;Conca de Barberà;PIB per habitant (€);;30855
2016;Conca de Barberà;PIB per habitant (índex Catalunya=100);;103,1
2016;Garraf;PIB (milions €);;2648,1
2016;Garraf;PIB per habitant (€);;18281
2016;Garraf;PIB per habitant (índex Catalunya=100);;61,1
2016;Garrigues;PIB (milions €);;403,2
2016;Garrigues;PIB per habitant (€);;21144
2016;Garrigues;PIB per habitant (índex Catalunya=100);;70,6
2016;Garrotxa;PIB (milions €);;1580,1
2016;Garrotxa;PIB per habitant (€);;28725
2016;Garrotxa;PIB per habitant (índex Catalunya=100);;96,0
2016;Gironès;PIB (milions €);;5829,0
2016;Gironès;PIB per habitant (€);;31908
2016;Gironès;PIB per habitant (índex Catalunya=100);;106,6
2016;Lluçanès;PIB (milions €);..;null
2016;Lluçanès;PIB per habitant (€);..;null
2016;Lluçanès;PIB per habitant (índex Catalunya=100);..;null
2016;Maresme;PIB (milions €);;8877,1
2016;Maresme;PIB per habitant (€);;20317
2016;Maresme;PIB per habitant (índex Catalunya=100);;67,9
2016;Moianès;PIB (milions €);;277,0
2016;Moianès;PIB per habitant (€);;21069
2016;Moianès;PIB per habitant (índex Catalunya=100);;70,4
2016;Montsià;PIB (milions €);;1187,4
2016;Montsià;PIB per habitant (€);;17468
2016;Montsià;PIB per habitant (índex Catalunya=100);;58,4
2016;Noguera;PIB (milions €);;856,4
2016;Noguera;PIB per habitant (€);;22311
2016;Noguera;PIB per habitant (índex Catalunya=100);;74,5
2016;Osona;PIB (milions €);;4293,3
2016;Osona;PIB per habitant (€);;27855
2016;Osona;PIB per habitant (índex Catalunya=100);;93,1
2016;Pallars Jussà;PIB (milions €);;276,9
2016;Pallars Jussà;PIB per habitant (€);;21091
2016;Pallars Jussà;PIB per habitant (índex Catalunya=100);;70,5
2016;Pallars Sobirà;PIB (milions €);;174,6
2016;Pallars Sobirà;PIB per habitant (€);;25303
2016;Pallars Sobirà;PIB per habitant (índex Catalunya=100);;84,5
2016;Pla d'Urgell;PIB (milions €);;959,4
2016;Pla d'Urgell;PIB per habitant (€);;26071
2016;Pla d'Urgell;PIB per habitant (índex Catalunya=100);;87,1
2016;Pla de l'Estany;PIB (milions €);;836,4
2016;Pla de l'Estany;PIB per habitant (€);;26575
2016;Pla de l'Estany;PIB per habitant (índex Catalunya=100);;88,8
2016;Priorat;PIB (milions €);;177,1
2016;Priorat;PIB per habitant (€);;19049
2016;Priorat;PIB per habitant (índex Catalunya=100);;63,6
2016;Ribera d'Ebre;PIB (milions €);;1156,5
2016;Ribera d'Ebre;PIB per habitant (€);;52602
2016;Ribera d'Ebre;PIB per habitant (índex Catalunya=100);;175,7
2016;Ripollès;PIB (milions €);;595,7
2016;Ripollès;PIB per habitant (€);;23872
2016;Ripollès;PIB per habitant (índex Catalunya=100);;79,8
2016;Segarra;PIB (milions €);;666,5
2016;Segarra;PIB per habitant (€);;29806
2016;Segarra;PIB per habitant (índex Catalunya=100);;99,6
2016;Segrià;PIB (milions €);;5671,3
2016;Segrià;PIB per habitant (€);;27722
2016;Segrià;PIB per habitant (índex Catalunya=100);;92,6
2016;Selva;PIB (milions €);;4066,5
2016;Selva;PIB per habitant (€);;24541
2016;Selva;PIB per habitant (índex Catalunya=100);;82,0
2016;Solsonès;PIB (milions €);;325,5
2016;Solsonès;PIB per habitant (€);;24245
2016;Solsonès;PIB per habitant (índex Catalunya=100);;81,0
2016;Tarragonès;PIB (milions €);;8738,8
2016;Tarragonès;PIB per habitant (€);;34921
2016;Tarragonès;PIB per habitant (índex Catalunya=100);;116,7
2016;Terra Alta;PIB (milions €);;274,9
2016;Terra Alta;PIB per habitant (€);;23750
2016;Terra Alta;PIB per habitant (índex Catalunya=100);;79,3
2016;Urgell;PIB (milions €);;878,2
2016;Urgell;PIB per habitant (€);;24500
2016;Urgell;PIB per habitant (índex Catalunya=100);;81,9
2016;Vallès Occidental;PIB (milions €);;25885,3
2016;Vallès Occidental;PIB per habitant (€);;28626
2016;Vallès Occidental;PIB per habitant (índex Catalunya=100);;95,6
2016;Vallès Oriental;PIB (milions €);;11771,1
2016;Vallès Oriental;PIB per habitant (€);;29396
2016;Vallès Oriental;PIB per habitant (índex Catalunya=100);;98,2
2016;Catalunya;PIB (milions €);;223652,6
2016;Catalunya;PIB per habitant (€);;29931
2016;Catalunya;PIB per habitant (índex Catalunya=100);;100,0
2017;Alt Camp;PIB (milions €);;1448,4
2017;Alt Camp;PIB per habitant (€);;32841
2017;Alt Camp;PIB per habitant (índex Catalunya=100);;106,1
2017;Alt Empordà;PIB (milions €);;3166,0
2017;Alt Empordà;PIB per habitant (€);;23152
2017;Alt Empordà;PIB per habitant (índex Catalunya=100);;74,8
2017;Alt Penedès;PIB (milions €);;3082,3
2017;Alt Penedès;PIB per habitant (€);;28784
2017;Alt Penedès;PIB per habitant (índex Catalunya=100);;93,0
2017;Alt Urgell;PIB (milions €);;466,4
2017;Alt Urgell;PIB per habitant (€);;23077
2017;Alt Urgell;PIB per habitant (índex Catalunya=100);;74,5
2017;Alta Ribagorça;PIB (milions €);;125,1
2017;Alta Ribagorça;PIB per habitant (€);;32696
2017;Alta Ribagorça;PIB per habitant (índex Catalunya=100);;105,6
2017;Anoia;PIB (milions €);;2508,1
2017;Anoia;PIB per habitant (€);;21118
2017;Anoia;PIB per habitant (índex Catalunya=100);;68,2
2017;Aran;PIB (milions €);;371,2
2017;Aran;PIB per habitant (€);;37652
2017;Aran;PIB per habitant (índex Catalunya=100);;121,6
2017;Bages;PIB (milions €);;4868,8
2017;Bages;PIB per habitant (€);;27947
2017;Bages;PIB per habitant (índex Catalunya=100);;90,3
2017;Baix Camp;PIB (milions €);;4695,2
2017;Baix Camp;PIB per habitant (€);;24799
2017;Baix Camp;PIB per habitant (índex Catalunya=100);;80,1
2017;Baix Ebre;PIB (milions €);;1746,3
2017;Baix Ebre;PIB per habitant (€);;22565
2017;Baix Ebre;PIB per habitant (índex Catalunya=100);;72,9
2017;Baix Empordà;PIB (milions €);;2992,1
2017;Baix Empordà;PIB per habitant (€);;22837
2017;Baix Empordà;PIB per habitant (índex Catalunya=100);;73,8
2017;Baix Llobregat;PIB (milions €);;26017,5
2017;Baix Llobregat;PIB per habitant (€);;32122
2017;Baix Llobregat;PIB per habitant (índex Catalunya=100);;103,8
2017;Baix Penedès;PIB (milions €);;1880,1
2017;Baix Penedès;PIB per habitant (€);;18583
2017;Baix Penedès;PIB per habitant (índex Catalunya=100);;60,0
2017;Barcelonès;PIB (milions €);;85219,2
2017;Barcelonès;PIB per habitant (€);;38157
2017;Barcelonès;PIB per habitant (índex Catalunya=100);;123,3
2017;Berguedà;PIB (milions €);;919,5
2017;Berguedà;PIB per habitant (€);;23605
2017;Berguedà;PIB per habitant (índex Catalunya=100);;76,2
2017;Cerdanya;PIB (milions €);;422,7
2017;Cerdanya;PIB per habitant (€);;23849
2017;Cerdanya;PIB per habitant (índex Catalunya=100);;77,0
2017;Conca de Barberà;PIB (milions €);;648,6
2017;Conca de Barberà;PIB per habitant (€);;32370
2017;Conca de Barberà;PIB per habitant (índex Catalunya=100);;104,6
2017;Garraf;PIB (milions €);;2823,1
2017;Garraf;PIB per habitant (€);;19343
2017;Garraf;PIB per habitant (índex Catalunya=100);;62,5
2017;Garrigues;PIB (milions €);;432,3
2017;Garrigues;PIB per habitant (€);;22824
2017;Garrigues;PIB per habitant (índex Catalunya=100);;73,7
2017;Garrotxa;PIB (milions €);;1659,1
2017;Garrotxa;PIB per habitant (€);;29969
2017;Garrotxa;PIB per habitant (índex Catalunya=100);;96,8
2017;Gironès;PIB (milions €);;5938,2
2017;Gironès;PIB per habitant (€);;32123
2017;Gironès;PIB per habitant (índex Catalunya=100);;103,8
2017;Lluçanès;PIB (milions €);..;null
2017;Lluçanès;PIB per habitant (€);..;null
2017;Lluçanès;PIB per habitant (índex Catalunya=100);..;null
2017;Maresme;PIB (milions €);;9424,6
2017;Maresme;PIB per habitant (€);;21407
2017;Maresme;PIB per habitant (índex Catalunya=100);;69,2
2017;Moianès;PIB (milions €);;284,7
2017;Moianès;PIB per habitant (€);;21469
2017;Moianès;PIB per habitant (índex Catalunya=100);;69,4
2017;Montsià;PIB (milions €);;1252,4
2017;Montsià;PIB per habitant (€);;18431
2017;Montsià;PIB per habitant (índex Catalunya=100);;59,5
2017;Noguera;PIB (milions €);;958,0
2017;Noguera;PIB per habitant (€);;25045
2017;Noguera;PIB per habitant (índex Catalunya=100);;80,9
2017;Osona;PIB (milions €);;4446,6
2017;Osona;PIB per habitant (€);;28561
2017;Osona;PIB per habitant (índex Catalunya=100);;92,3
2017;Pallars Jussà;PIB (milions €);;295,9
2017;Pallars Jussà;PIB per habitant (€);;22755
2017;Pallars Jussà;PIB per habitant (índex Catalunya=100);;73,5
2017;Pallars Sobirà;PIB (milions €);;186,1
2017;Pallars Sobirà;PIB per habitant (€);;26982
2017;Pallars Sobirà;PIB per habitant (índex Catalunya=100);;87,2
2017;Pla d'Urgell;PIB (milions €);;987,3
2017;Pla d'Urgell;PIB per habitant (€);;26758
2017;Pla d'Urgell;PIB per habitant (índex Catalunya=100);;86,4
2017;Pla de l'Estany;PIB (milions €);;872,0
2017;Pla de l'Estany;PIB per habitant (€);;27514
2017;Pla de l'Estany;PIB per habitant (índex Catalunya=100);;88,9
2017;Priorat;PIB (milions €);;164,0
2017;Priorat;PIB per habitant (€);;17729
2017;Priorat;PIB per habitant (índex Catalunya=100);;57,3
2017;Ribera d'Ebre;PIB (milions €);;1392,2
2017;Ribera d'Ebre;PIB per habitant (€);;63852
2017;Ribera d'Ebre;PIB per habitant (índex Catalunya=100);;206,3
2017;Ripollès;PIB (milions €);;593,4
2017;Ripollès;PIB per habitant (€);;23848
2017;Ripollès;PIB per habitant (índex Catalunya=100);;77,0
2017;Segarra;PIB (milions €);;757,6
2017;Segarra;PIB per habitant (€);;33823
2017;Segarra;PIB per habitant (índex Catalunya=100);;109,3
2017;Segrià;PIB (milions €);;5840,0
2017;Segrià;PIB per habitant (€);;28554
2017;Segrià;PIB per habitant (índex Catalunya=100);;92,2
2017;Selva;PIB (milions €);;4249,6
2017;Selva;PIB per habitant (€);;25597
2017;Selva;PIB per habitant (índex Catalunya=100);;82,7
2017;Solsonès;PIB (milions €);;348,3
2017;Solsonès;PIB per habitant (€);;25816
2017;Solsonès;PIB per habitant (índex Catalunya=100);;83,4
2017;Tarragonès;PIB (milions €);;8816,9
2017;Tarragonès;PIB per habitant (€);;34961
2017;Tarragonès;PIB per habitant (índex Catalunya=100);;112,9
2017;Terra Alta;PIB (milions €);;302,6
2017;Terra Alta;PIB per habitant (€);;26405
2017;Terra Alta;PIB per habitant (índex Catalunya=100);;85,3
2017;Urgell;PIB (milions €);;956,3
2017;Urgell;PIB per habitant (€);;26604
2017;Urgell;PIB per habitant (índex Catalunya=100);;85,9
2017;Vallès Occidental;PIB (milions €);;27085,2
2017;Vallès Occidental;PIB per habitant (€);;29707
2017;Vallès Occidental;PIB per habitant (índex Catalunya=100);;96,0
2017;Vallès Oriental;PIB (milions €);;12156,0
2017;Vallès Oriental;PIB per habitant (€);;30124
2017;Vallès Oriental;PIB per habitant (índex Catalunya=100);;97,3
2017;Catalunya;PIB (milions €);;232800,0
2017;Catalunya;PIB per habitant (€);;30957
2017;Catalunya;PIB per habitant (índex Catalunya=100);;100,0
2018;Alt Camp;PIB (milions €);;1473,0
2018;Alt Camp;PIB per habitant (€);;33253
2018;Alt Camp;PIB per habitant (índex Catalunya=100);;103,5
2018;Alt Empordà;PIB (milions €);;3397,6
2018;Alt Empordà;PIB per habitant (€);;24716
2018;Alt Empordà;PIB per habitant (índex Catalunya=100);;77,0
2018;Alt Penedès;PIB (milions €);;3214,8
2018;Alt Penedès;PIB per habitant (€);;29758
2018;Alt Penedès;PIB per habitant (índex Catalunya=100);;92,7
2018;Alt Urgell;PIB (milions €);;495,7
2018;Alt Urgell;PIB per habitant (€);;24566
2018;Alt Urgell;PIB per habitant (índex Catalunya=100);;76,5
2018;Alta Ribagorça;PIB (milions €);;132,3
2018;Alta Ribagorça;PIB per habitant (€);;34665
2018;Alta Ribagorça;PIB per habitant (índex Catalunya=100);;107,9
2018;Anoia;PIB (milions €);;2523,7
2018;Anoia;PIB per habitant (€);;21033
2018;Anoia;PIB per habitant (índex Catalunya=100);;65,5
2018;Aran;PIB (milions €);;393,1
2018;Aran;PIB per habitant (€);;39631
2018;Aran;PIB per habitant (índex Catalunya=100);;123,4
2018;Bages;PIB (milions €);;5030,2
2018;Bages;PIB per habitant (€);;28613
2018;Bages;PIB per habitant (índex Catalunya=100);;89,1
2018;Baix Camp;PIB (milions €);;4432,6
2018;Baix Camp;PIB per habitant (€);;23192
2018;Baix Camp;PIB per habitant (índex Catalunya=100);;72,2
2018;Baix Ebre;PIB (milions €);;1789,7
2018;Baix Ebre;PIB per habitant (€);;23187
2018;Baix Ebre;PIB per habitant (índex Catalunya=100);;72,2
2018;Baix Empordà;PIB (milions €);;3081,0
2018;Baix Empordà;PIB per habitant (€);;23377
2018;Baix Empordà;PIB per habitant (índex Catalunya=100);;72,8
2018;Baix Llobregat;PIB (milions €);;27688,0
2018;Baix Llobregat;PIB per habitant (€);;33951
2018;Baix Llobregat;PIB per habitant (índex Catalunya=100);;105,7
2018;Baix Penedès;PIB (milions €);;1970,7
2018;Baix Penedès;PIB per habitant (€);;19091
2018;Baix Penedès;PIB per habitant (índex Catalunya=100);;59,4
2018;Barcelonès;PIB (milions €);;89358,4
2018;Barcelonès;PIB per habitant (€);;39678
2018;Barcelonès;PIB per habitant (índex Catalunya=100);;123,5
2018;Berguedà;PIB (milions €);;985,2
2018;Berguedà;PIB per habitant (€);;25179
2018;Berguedà;PIB per habitant (índex Catalunya=100);;78,4
2018;Cerdanya;PIB (milions €);;461,9
2018;Cerdanya;PIB per habitant (€);;25839
2018;Cerdanya;PIB per habitant (índex Catalunya=100);;80,5
2018;Conca de Barberà;PIB (milions €);;674,4
2018;Conca de Barberà;PIB per habitant (€);;33834
2018;Conca de Barberà;PIB per habitant (índex Catalunya=100);;105,4
2018;Garraf;PIB (milions €);;2949,3
2018;Garraf;PIB per habitant (€);;20044
2018;Garraf;PIB per habitant (índex Catalunya=100);;62,4
2018;Garrigues;PIB (milions €);;452,1
2018;Garrigues;PIB per habitant (€);;23958
2018;Garrigues;PIB per habitant (índex Catalunya=100);;74,6
2018;Garrotxa;PIB (milions €);;1698,9
2018;Garrotxa;PIB per habitant (€);;30324
2018;Garrotxa;PIB per habitant (índex Catalunya=100);;94,4
2018;Gironès;PIB (milions €);;6218,2
2018;Gironès;PIB per habitant (€);;33206
2018;Gironès;PIB per habitant (índex Catalunya=100);;103,4
2018;Lluçanès;PIB (milions €);..;null
2018;Lluçanès;PIB per habitant (€);..;null
2018;Lluçanès;PIB per habitant (índex Catalunya=100);..;null
2018;Maresme;PIB (milions €);;9890,7
2018;Maresme;PIB per habitant (€);;22253
2018;Maresme;PIB per habitant (índex Catalunya=100);;69,3
2018;Moianès;PIB (milions €);;317,0
2018;Moianès;PIB per habitant (€);;23648
2018;Moianès;PIB per habitant (índex Catalunya=100);;73,6
2018;Montsià;PIB (milions €);;1260,5
2018;Montsià;PIB per habitant (€);;18514
2018;Montsià;PIB per habitant (índex Catalunya=100);;57,6
2018;Noguera;PIB (milions €);;963,5
2018;Noguera;PIB per habitant (€);;25213
2018;Noguera;PIB per habitant (índex Catalunya=100);;78,5
2018;Osona;PIB (milions €);;4776,5
2018;Osona;PIB per habitant (€);;30294
2018;Osona;PIB per habitant (índex Catalunya=100);;94,3
2018;Pallars Jussà;PIB (milions €);;315,2
2018;Pallars Jussà;PIB per habitant (€);;24394
2018;Pallars Jussà;PIB per habitant (índex Catalunya=100);;76,0
2018;Pallars Sobirà;PIB (milions €);;207,5
2018;Pallars Sobirà;PIB per habitant (€);;30086
2018;Pallars Sobirà;PIB per habitant (índex Catalunya=100);;93,7
2018;Pla d'Urgell;PIB (milions €);;1046,2
2018;Pla d'Urgell;PIB per habitant (€);;28283
2018;Pla d'Urgell;PIB per habitant (índex Catalunya=100);;88,1
2018;Pla de l'Estany;PIB (milions €);;908,8
2018;Pla de l'Estany;PIB per habitant (€);;28448
2018;Pla de l'Estany;PIB per habitant (índex Catalunya=100);;88,6
2018;Priorat;PIB (milions €);;173,9
2018;Priorat;PIB per habitant (€);;18906
2018;Priorat;PIB per habitant (índex Catalunya=100);;58,9
2018;Ribera d'Ebre;PIB (milions €);;1467,9
2018;Ribera d'Ebre;PIB per habitant (€);;67754
2018;Ribera d'Ebre;PIB per habitant (índex Catalunya=100);;211,0
2018;Ripollès;PIB (milions €);;631,1
2018;Ripollès;PIB per habitant (€);;25351
2018;Ripollès;PIB per habitant (índex Catalunya=100);;78,9
2018;Segarra;PIB (milions €);;814,4
2018;Segarra;PIB per habitant (€);;36163
2018;Segarra;PIB per habitant (índex Catalunya=100);;112,6
2018;Segrià;PIB (milions €);;6061,9
2018;Segrià;PIB per habitant (€);;29525
2018;Segrià;PIB per habitant (índex Catalunya=100);;91,9
2018;Selva;PIB (milions €);;4508,2
2018;Selva;PIB per habitant (€);;26934
2018;Selva;PIB per habitant (índex Catalunya=100);;83,9
2018;Solsonès;PIB (milions €);;362,5
2018;Solsonès;PIB per habitant (€);;26700
2018;Solsonès;PIB per habitant (índex Catalunya=100);;83,1
2018;Tarragonès;PIB (milions €);;8921,2
2018;Tarragonès;PIB per habitant (€);;34914
2018;Tarragonès;PIB per habitant (índex Catalunya=100);;108,7
2018;Terra Alta;PIB (milions €);;302,0
2018;Terra Alta;PIB per habitant (€);;26556
2018;Terra Alta;PIB per habitant (índex Catalunya=100);;82,7
2018;Urgell;PIB (milions €);;991,5
2018;Urgell;PIB per habitant (€);;27358
2018;Urgell;PIB per habitant (índex Catalunya=100);;85,2
